00007ff8002f367f (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
00007ff841d59ee8 (__DATA,__bss) non-external ___collate_range_cmp.s1
00007ff841d59ef0 (__DATA,__bss) non-external ___collate_range_cmp.s2
00007ff8002f2584 (__TEXT,__text) non-external (was a private external) ___collate_substitute
00007ff8002f272e (__TEXT,__text) non-external (was a private external) ___collate_wcsdup
00007ff8002f2cff (__TEXT,__text) non-external (was a private external) ___collate_xfrm
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
00007ff8002bfb60 (__TEXT,__text) non-external (was a private external) ___confstr_init
00007ff8002b2b6f (__TEXT,__text) external ___copybits_D2A
00007ff8002d8025 (__TEXT,__text) non-external (was a private external) ___crypt_des_cipher
00007ff8002d7a54 (__TEXT,__text) non-external (was a private external) ___crypt_des_setkey
00007ff841d595b0 (__DATA,__bss) non-external ___crypt_des_setkey.des_ready
00007ff841d5a470 (__DATA,__common) non-external (was a private external) ___crypt_des_setkey_called
00007ff80030cb52 (__TEXT,__text) non-external ___cvt
00007ff841d5a400 (__DATA,__bss) non-external ___cvt.s
00007ff8002a587b (__TEXT,__text) external ___cxa_atexit
00007ff8002c89d0 (__TEXT,__text) external ___cxa_finalize
00007ff8002c8a08 (__TEXT,__text) external ___cxa_finalize_ranges
00007ff800308c10 (__TEXT,__text) external ___cxa_thread_atexit
00007ff8002af3f0 (__TEXT,__text) external ___d2b_D2A
00007ff843ad0898 (__DATA_DIRTY,__common) non-external (was a private external) ___darwin_altzone
00007ff8002e5723 (__TEXT,__text) non-external ___dberr
00007ff8002e56fe (__TEXT,__text) external ___dbpanic
00007ff841d57740 (__DATA,__data) external ___default_hash
00007ff800311690 (__TEXT,__text) external ___default_utx
00007ff841d57bb0 (__DATA,__data) non-external ___default_utx.once
00007ff8003116b0 (__TEXT,__text) non-external ___default_utx_init
00007ff8002e7adc (__TEXT,__text) external ___delpair
00007ff8002c1e5a (__TEXT,__text) non-external (was a private external) ___detect_path_locale
00007ff8002b050f (__TEXT,__text) external ___diff_D2A
00007ff843acefb0 (__DATA_DIRTY,__bss) non-external ___dirhelper_func
00007ff8002ae528 (__TEXT,__text) external ___dtoa
00007ff8003117d3 (__TEXT,__text) non-external (was a private external) ___endutxent
00007ff843ad08f0 (__DATA_DIRTY,__common) non-external (was a private external) ___env_owned
00007ff800308c7d (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
00007ff841d5a398 (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
00007ff8002ce45a (__TEXT,__text) non-external (was a private external) ___errstr
00007ff8002b4111 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
00007ff8002e62d7 (__TEXT,__text) external ___expand_table
00007ff841d5a190 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fchmod_extended (from libsystem_kernel)
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
00007ff8002b1b21 (__TEXT,__text) external ___fflush
00007ff8002fa54a (__TEXT,__text) external ___fgetwc
00007ff8002fbde0 (__TEXT,__text) non-external (was a private external) ___find_arguments
00007ff8002e6ca6 (__TEXT,__text) external ___find_bigpair
00007ff8002e6dbf (__TEXT,__text) external ___find_last_page
00007ff8002fceb0 (__TEXT,__text) non-external (was a private external) ___find_warguments
00007ff80029f4da (__TEXT,__text) non-external (was a private external) ___findenv_locked
00007ff8002c3a5e (__TEXT,__text) external ___fix_locale_grouping_str
00007ff8002f431d (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
                 (undefined) external ___fpclassifyl (from libsystem_m)
00007ff8002fabc8 (__TEXT,__text) non-external (was a private external) ___fputwc
00007ff8002abd6e (__TEXT,__text) external ___fread
00007ff8002e8d2e (__TEXT,__text) external ___free_ovflpage
00007ff8002af72f (__TEXT,__text) external ___freedtoa
                 (undefined) external ___fstat64_extended (from libsystem_kernel)
                 (undefined) external ___fstat_extended (from libsystem_kernel)
00007ff841d57c04 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
00007ff8002b0d20 (__TEXT,__text) non-external ___fts_open
00007ff800319700 (__TEXT,__text) non-external ___fts_open
00007ff8002eb074 (__TEXT,__text) external ___gdtoa
00007ff841d5a480 (__DATA,__common) external ___gdtoa_locks
00007ff8002e74a6 (__TEXT,__text) external ___get_buf
00007ff8002f48a3 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
00007ff8002a4456 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
00007ff8002a4479 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
00007ff8002c0297 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
00007ff8002cad02 (__TEXT,__text) non-external (was a private external) ___get_locale_env
00007ff8002e87e4 (__TEXT,__text) external ___get_page
00007ff8002c9420 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
00007ff843ad0820 (__DATA_DIRTY,__bss) non-external ___getevp.predicate
                 (undefined) external ___getlogin (from libsystem_kernel)
00007ff8002f48c6 (__TEXT,__text) external ___getonlyClocaleconv
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00007ff80031189e (__TEXT,__text) non-external (was a private external) ___getutxent
00007ff800311c21 (__TEXT,__text) non-external ___getutxid
00007ff8002ccff5 (__TEXT,__text) non-external (was a private external) ___gl_compare
00007ff8002cca31 (__TEXT,__text) non-external (was a private external) ___gl_g_Ctoc
00007ff8002ef08f (__TEXT,__text) non-external (was a private external) ___gl_g_strchr
00007ff8002ccdd5 (__TEXT,__text) non-external (was a private external) ___gl_globextend
00007ff8002cc10d (__TEXT,__text) non-external (was a private external) ___gl_globtilde
00007ff8002ccb3b (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff8002cbbaa (__TEXT,__text) non-external ___glob
00007ff800317aaa (__TEXT,__text) non-external ___glob
00007ff843acdd20 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff8002bfc22 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff8002e5730 (__TEXT,__text) external ___hash_open
00007ff8002d3080 (__TEXT,__text) external ___hdtoa
00007ff8002ad00d (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff8002b299b (__TEXT,__text) external ___hi0bits_D2A
00007ff8002eae05 (__TEXT,__text) external ___hldtoa
00007ff8002b01b3 (__TEXT,__text) external ___i2b_D2A
00007ff8002e8c76 (__TEXT,__text) external ___ibitmap
00007ff8002f92b6 (__TEXT,__text) non-external ___inaddr_to_index
00007ff80031d6dc (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff80030bfc1 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff8002f5196 (__TEXT,__text) external ___isctype
00007ff8002f512d (__TEXT,__text) external ___istype
00007ff8002f527b (__TEXT,__text) external ___istype_l
00007ff843ace8f8 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff843acefa0 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff8002f488f (__TEXT,__text) non-external (was a private external) ___ldpart_free_extra
00007ff80030cf70 (__TEXT,__text) external ___ldtoa
00007ff8002e0b20 (__TEXT,__text) external ___libc_init
00007ff8002af617 (__TEXT,__text) external ___lo0bits_D2A
00007ff8002b413c (__TEXT,__text) non-external ___loadevp
00007ff843ace2e8 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff8002e7ac0 (__TEXT,__text) external ___log2
00007ff841d5a4a0 (__DATA,__common) non-external (was a private external) ___logname
00007ff841d57770 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff800320fb0 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff8002b040a (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff8002b47af (__TEXT,__text) external ___maskrune
00007ff8002f5227 (__TEXT,__text) external ___maskrune_l
00007ff8002ec243 (__TEXT,__text) external ___match_D2A
00007ff841d5789c (__DATA,__data) external ___mb_cur_max
00007ff841d578a0 (__DATA,__data) external ___mb_sb_limit
00007ff8003027ea (__TEXT,__text) non-external ___mbsconv
00007ff8002f4acf (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
