000000020c054668 (__TEXT,__text) external _AAPathFilterCreate
000000020c05474c (__TEXT,__text) external _AAPathFilterDestroy
000000020c09c01c (__TEXT,__text) external _AAPathListCreate
000000020c09c1ec (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
000000020c09d82c (__TEXT,__text) external _AAPathListCreateWithPath
000000020c09c1a0 (__TEXT,__text) external _AAPathListDestroy
000000020c09dd70 (__TEXT,__text) external _AAPathListGetNode
000000020c09deb0 (__TEXT,__text) external _AAPathListMerge
000000020c09e02c (__TEXT,__text) external _AAPathListNodeFirst
000000020c09dbf0 (__TEXT,__text) external _AAPathListNodeGetPath
000000020c09e03c (__TEXT,__text) external _AAPathListNodeNext
000000020c065778 (__TEXT,__text) external _AARandomAccessByteStreamProcess
000000020c096ba4 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
000000020c076d68 (__TEXT,__text) external _AARangeInputStreamOpen
000000020c069344 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
000000020c0b38a4 (__TEXT,__text) external _AASharedBufferPipeOpen
000000020c0b3d78 (__TEXT,__text) external _AATeeOutputStreamOpen
000000020c0b362c (__TEXT,__text) external _AATempFileStreamOpen
000000020c0b3634 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
000000020c08600c (__TEXT,__text) external _AATempStreamOpen
000000020c086014 (__TEXT,__text) external _AATempStreamOpenWithDirectory
000000020c095b70 (__TEXT,__text) external _AAThreadErrorContextEnter
000000020c095b74 (__TEXT,__text) external _AAThreadErrorContextLeave
000000020c057ea8 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
000000020c053d30 (__TEXT,__text) external _AEAAuthDataAppendEntry
000000020c05437c (__TEXT,__text) external _AEAAuthDataClear
000000020c05364c (__TEXT,__text) external _AEAAuthDataCreate
000000020c053738 (__TEXT,__text) external _AEAAuthDataCreateWithContext
000000020c0536c0 (__TEXT,__text) external _AEAAuthDataDestroy
000000020c054490 (__TEXT,__text) external _AEAAuthDataGetEncodedData
