00007ff8004007c4 (__TEXT,__text) external ___pthread_kill
00007ff8004047f8 (__TEXT,__text) external ___pthread_markcancel
00007ff8003ff81c (__TEXT,__text) external ___pthread_sigmask
00007ff800400bbc (__TEXT,__text) external ___ptrace
00007ff800404810 (__TEXT,__text) external ___pwrite_nocancel
00007ff800404828 (__TEXT,__text) external ___pwritev_nocancel
00007ff8003fb350 (__TEXT,__text) external ___read_nocancel
00007ff800404840 (__TEXT,__text) external ___readv_nocancel
00007ff800404858 (__TEXT,__text) external ___reboot
00007ff800404870 (__TEXT,__text) external ___record_system_event
00007ff8003fd16c (__TEXT,__text) external ___recvfrom
00007ff8003fd03c (__TEXT,__text) external ___recvfrom_nocancel
00007ff8003fd480 (__TEXT,__text) external ___recvmsg
00007ff800404888 (__TEXT,__text) external ___recvmsg_nocancel
00007ff8438f6b80 (__DATA_DIRTY,__bss) non-external ___remove_counter
00007ff8003fc8a4 (__TEXT,__text) external ___rename
00007ff8004048a0 (__TEXT,__text) external ___renameat
00007ff8004048b8 (__TEXT,__text) external ___renameatx_np
00007ff8003fc8dc (__TEXT,__text) external ___rmdir
00007ff8004043d8 (__TEXT,__text) external ___sandbox_me
00007ff800404498 (__TEXT,__text) external ___sandbox_mm
00007ff8003faf94 (__TEXT,__text) external ___sandbox_ms
00007ff8004007f4 (__TEXT,__text) external ___sandbox_msp
00007ff800402940 (__TEXT,__text) external ___select
00007ff8003fd024 (__TEXT,__text) external ___select_nocancel
00007ff8004015c4 (__TEXT,__text) external ___sem_open
00007ff8004048d0 (__TEXT,__text) external ___sem_wait_nocancel
00007ff8004048e8 (__TEXT,__text) external ___semctl
00007ff800404900 (__TEXT,__text) external ___semsys
00007ff8003fc4d0 (__TEXT,__text) external ___semwait_signal
00007ff8003ff834 (__TEXT,__text) external ___semwait_signal_nocancel
00007ff8003fe2a8 (__TEXT,__text) external ___sendmsg
00007ff8003fd06c (__TEXT,__text) external ___sendmsg_nocancel
00007ff8003fd154 (__TEXT,__text) external ___sendto
00007ff8003fcfdc (__TEXT,__text) external ___sendto_nocancel
00007ff8003fc5bc (__TEXT,__text) external ___setattrlist
00007ff800403598 (__TEXT,__text) external ___setlogin
00007ff800400384 (__TEXT,__text) external ___setpriority
