00007ffa184a2e30 (__TEXT,__text) external _glDeleteBuffersARB
00007ffa184a4986 (__TEXT,__text) external _glDeleteFencesAPPLE
00007ffa1849f771 (__TEXT,__text) external _glDeleteFramebuffers
00007ffa184a3d81 (__TEXT,__text) external _glDeleteFramebuffersEXT
00007ffa1849b4aa (__TEXT,__text) external _glDeleteLists
00007ffa184a3668 (__TEXT,__text) external _glDeleteNamedStringARB
00007ffa184a2f7a (__TEXT,__text) external _glDeleteObjectARB
00007ffa1849f03d (__TEXT,__text) external _glDeleteProgram
00007ffa184a113d (__TEXT,__text) external _glDeleteProgramPipelines
00007ffa184a1bc2 (__TEXT,__text) external _glDeleteProgramsARB
00007ffa1849e76c (__TEXT,__text) external _glDeleteQueries
00007ffa184a2d37 (__TEXT,__text) external _glDeleteQueriesARB
00007ffa1849f6b3 (__TEXT,__text) external _glDeleteRenderbuffers
00007ffa184a3cc3 (__TEXT,__text) external _glDeleteRenderbuffersEXT
00007ffa184a0672 (__TEXT,__text) external _glDeleteSamplers
00007ffa1849ef1c (__TEXT,__text) external _glDeleteShader
00007ffa184a0456 (__TEXT,__text) external _glDeleteSync
00007ffa1849b4c8 (__TEXT,__text) external _glDeleteTextures
00007ffa184a0def (__TEXT,__text) external _glDeleteTransformFeedbacks
00007ffa1849f9b6 (__TEXT,__text) external _glDeleteVertexArrays
00007ffa184a4ac9 (__TEXT,__text) external _glDeleteVertexArraysAPPLE
00007ffa184a380f (__TEXT,__text) external _glDepthBoundsEXT
00007ffa1849b4e7 (__TEXT,__text) external _glDepthFunc
00007ffa1849b503 (__TEXT,__text) external _glDepthMask
00007ffa1849b51f (__TEXT,__text) external _glDepthRange
00007ffa184a1b22 (__TEXT,__text) external _glDepthRangeArrayv
00007ffa184a1b44 (__TEXT,__text) external _glDepthRangeIndexed
00007ffa184a101e (__TEXT,__text) external _glDepthRangef
00007ffa184a2fb3 (__TEXT,__text) external _glDetachObjectARB
00007ffa1849ef3b (__TEXT,__text) external _glDetachShader
00007ffa1849b539 (__TEXT,__text) external _glDisable
00007ffa1849b555 (__TEXT,__text) external _glDisableClientState
00007ffa184a46df (__TEXT,__text) external _glDisableIndexedEXT
00007ffa184a4839 (__TEXT,__text) external _glDisableVertexAttribAPPLE
00007ffa1849ee78 (__TEXT,__text) external _glDisableVertexAttribArray
00007ffa184a20c6 (__TEXT,__text) external _glDisableVertexAttribArrayARB
00007ffa1849fa99 (__TEXT,__text) external _glDisablei
00007ffa1849b571 (__TEXT,__text) external _glDrawArrays
00007ffa184a09ba (__TEXT,__text) external _glDrawArraysIndirect
00007ffa184a02b4 (__TEXT,__text) external _glDrawArraysInstanced
00007ffa184a3554 (__TEXT,__text) external _glDrawArraysInstancedARB
00007ffa1849b592 (__TEXT,__text) external _glDrawBuffer
00007ffa1849e9af (__TEXT,__text) external _glDrawBuffers
00007ffa184a34f9 (__TEXT,__text) external _glDrawBuffersARB
00007ffa184a4b42 (__TEXT,__text) external _glDrawElementArrayAPPLE
00007ffa1849b5ae (__TEXT,__text) external _glDrawElements
00007ffa184a033c (__TEXT,__text) external _glDrawElementsBaseVertex
00007ffa184a09d9 (__TEXT,__text) external _glDrawElementsIndirect
00007ffa184a02d8 (__TEXT,__text) external _glDrawElementsInstanced
00007ffa184a3578 (__TEXT,__text) external _glDrawElementsInstancedARB
