000000018039b18c (__TEXT,__text) external ___pread_nocancel
000000018039b1b8 (__TEXT,__text) external ___preadv_nocancel
000000018038f124 (__TEXT,__text) external ___proc_info
000000018039b1e4 (__TEXT,__text) external ___proc_info_extended_id
0000000180395628 (__TEXT,__text) external ___process_policy
0000000180393f9c (__TEXT,__text) external ___pselect
000000018039b210 (__TEXT,__text) external ___pselect_nocancel
0000000180391588 (__TEXT,__text) external ___psynch_cvbroad
0000000180391c08 (__TEXT,__text) external ___psynch_cvclrprepost
00000001803929b8 (__TEXT,__text) external ___psynch_cvsignal
000000018039155c (__TEXT,__text) external ___psynch_cvwait
0000000180390be4 (__TEXT,__text) external ___psynch_mutexdrop
0000000180390a14 (__TEXT,__text) external ___psynch_mutexwait
000000018039b23c (__TEXT,__text) external ___psynch_rw_downgrade
000000018039b268 (__TEXT,__text) external ___psynch_rw_longrdlock
000000018039319c (__TEXT,__text) external ___psynch_rw_rdlock
0000000180393170 (__TEXT,__text) external ___psynch_rw_unlock
000000018039b294 (__TEXT,__text) external ___psynch_rw_unlock2
000000018039b2c0 (__TEXT,__text) external ___psynch_rw_upgrade
0000000180393144 (__TEXT,__text) external ___psynch_rw_wrlock
000000018039b2ec (__TEXT,__text) external ___psynch_rw_yieldwrlock
0000000180399b9c (__TEXT,__text) external ___pthread_canceled
0000000180394bd0 (__TEXT,__text) external ___pthread_chdir
0000000180394ba4 (__TEXT,__text) external ___pthread_fchdir
00000001803961a8 (__TEXT,__text) external ___pthread_kill
000000018039b318 (__TEXT,__text) external ___pthread_markcancel
0000000180395068 (__TEXT,__text) external ___pthread_sigmask
00000001803965fc (__TEXT,__text) external ___ptrace
000000018039b344 (__TEXT,__text) external ___pwrite_nocancel
000000018039b370 (__TEXT,__text) external ___pwritev_nocancel
000000018038fcd4 (__TEXT,__text) external ___read_nocancel
000000018039b39c (__TEXT,__text) external ___readv_nocancel
000000018039b3c8 (__TEXT,__text) external ___reboot
000000018039b3f4 (__TEXT,__text) external ___record_system_event
00000001803922f0 (__TEXT,__text) external ___recvfrom
00000001803921b8 (__TEXT,__text) external ___recvfrom_nocancel
0000000180392720 (__TEXT,__text) external ___recvmsg
000000018039b420 (__TEXT,__text) external ___recvmsg_nocancel
00000001db73e5c8 (__DATA_DIRTY,__bss) non-external ___remove_counter
00000001803918dc (__TEXT,__text) external ___rename
000000018039b44c (__TEXT,__text) external ___renameat
000000018039b478 (__TEXT,__text) external ___renameatx_np
0000000180391948 (__TEXT,__text) external ___rmdir
000000018039ab88 (__TEXT,__text) external ___sandbox_me
000000018039ace8 (__TEXT,__text) external ___sandbox_mm
000000018038f754 (__TEXT,__text) external ___sandbox_ms
0000000180396200 (__TEXT,__text) external ___sandbox_msp
00000001803989f8 (__TEXT,__text) external ___select
000000018039218c (__TEXT,__text) external ___select_nocancel
0000000180397274 (__TEXT,__text) external ___sem_open
000000018039b4a4 (__TEXT,__text) external ___sem_wait_nocancel
000000018039b4d0 (__TEXT,__text) external ___semctl
000000018039b4fc (__TEXT,__text) external ___semsys
0000000180391358 (__TEXT,__text) external ___semwait_signal
0000000180395094 (__TEXT,__text) external ___semwait_signal_nocancel
00000001803938ac (__TEXT,__text) external ___sendmsg
0000000180392210 (__TEXT,__text) external ___sendmsg_nocancel
00000001803922c4 (__TEXT,__text) external ___sendto
000000018039212c (__TEXT,__text) external ___sendto_nocancel
00000001803914d8 (__TEXT,__text) external ___setattrlist
0000000180399858 (__TEXT,__text) external ___setlogin
0000000180395cd4 (__TEXT,__text) external ___setpriority
000000018039b528 (__TEXT,__text) external ___setregid
000000018039b554 (__TEXT,__text) external ___setreuid
0000000180390a48 (__TEXT,__text) external ___setrlimit
000000018039b580 (__TEXT,__text) external ___setsgroups
0000000180396ff8 (__TEXT,__text) external ___settid
000000018039b5ac (__TEXT,__text) external ___settid_with_pid
000000018039b5d8 (__TEXT,__text) external ___settimeofday
000000018039b604 (__TEXT,__text) external ___setwgroups
000000018039730c (__TEXT,__text) external ___sfi_ctl
000000018039b630 (__TEXT,__text) external ___sfi_pidctl
000000018039b65c (__TEXT,__text) external ___shared_region_check_np
000000018039b688 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
000000018038f584 (__TEXT,__text) external ___shm_open
000000018039b6b4 (__TEXT,__text) external ___shmctl
000000018039b6e0 (__TEXT,__text) external ___shmsys
0000000180394298 (__TEXT,__text) external ___sigaction
0000000180391454 (__TEXT,__text) external ___sigaltstack
00000001803992e8 (__TEXT,__text) external ___sigreturn
000000018039b70c (__TEXT,__text) external ___sigsuspend
00000001803950cc (__TEXT,__text) external ___sigsuspend_nocancel
0000000180399340 (__TEXT,__text) external ___sigwait
00000001803921e4 (__TEXT,__text) external ___socketpair
000000018039b738 (__TEXT,__text) external ___stack_snapshot_with_config
000000018039cb14 (__TEXT,__text) external ___stat
0000000180393640 (__TEXT,__text) external ___stat64_extended
000000018039b764 (__TEXT,__text) external ___stat_extended
000000018039cb40 (__TEXT,__text) external ___statfs
000000018039014c (__TEXT,__text) external ___syscall
00000001d9214c98 (__DATA,__common) external ___syscall_logger
000000018038f484 (__TEXT,__text) external ___sysctl
000000018038f6b0 (__TEXT,__text) external ___sysctlbyname
000000018039b790 (__TEXT,__text) external ___telemetry
000000018039817c (__TEXT,__text) external ___terminate_with_payload
000000018038faf0 (__TEXT,__text) external ___thread_selfid
000000018039b7bc (__TEXT,__text) external ___thread_selfusage
000000018038fb1c (__TEXT,__text) external ___ulock_wait
000000018039b7e8 (__TEXT,__text) external ___ulock_wait2
000000018038fbf0 (__TEXT,__text) external ___ulock_wake
000000018039b814 (__TEXT,__text) external ___umask_extended
0000000180391cfc (__TEXT,__text) external ___unlink
0000000180397658 (__TEXT,__text) external ___unlinkat
000000018039b840 (__TEXT,__text) external ___vfork
0000000180394fe8 (__TEXT,__text) external ___wait4
0000000180399e94 (__TEXT,__text) external ___wait4_nocancel
000000018039b8b0 (__TEXT,__text) external ___waitid_nocancel
00000001803967a8 (__TEXT,__text) external ___work_interval_ctl
000000018038fa14 (__TEXT,__text) external ___workq_kernreturn
000000018038fa40 (__TEXT,__text) external ___workq_open
0000000180391c34 (__TEXT,__text) external ___write_nocancel
000000018039b8dc (__TEXT,__text) external ___writev_nocancel
00000001d9214c8c (__DATA,__common) external __cpu_capabilities
00000001d9214c90 (__DATA,__common) external __cpu_has_altivec
