00007ff801d99803 (__TEXT,__text) non-external (was a private external) ___gl_match
00007ff801d97c6a (__TEXT,__text) non-external ___glob
00007ff801d97fda (__TEXT,__text) non-external ___glob
00007ff8438bfb20 (__DATA_DIRTY,__data) non-external (was a private external) ___global_locale
00007ff801d8bdd5 (__TEXT,__text) non-external (was a private external) ___guard_setup
00007ff801db342c (__TEXT,__text) external ___hash_open
00007ff801da07d4 (__TEXT,__text) external ___hdtoa
00007ff801d77cfc (__TEXT,__text) non-external (was a private external) ___heapsort_r
00007ff801d7dd3c (__TEXT,__text) external ___hi0bits_D2A
00007ff801db8c2d (__TEXT,__text) external ___hldtoa
00007ff801d7af79 (__TEXT,__text) external ___i2b_D2A
00007ff801db6a77 (__TEXT,__text) external ___ibitmap
00007ff801dc7750 (__TEXT,__text) non-external ___inaddr_to_index
00007ff801de92af (__TEXT,__text) non-external ___inaddr_to_index.cold.1
00007ff801dda511 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
00007ff801dc36c5 (__TEXT,__text) external ___isctype
00007ff801dc365b (__TEXT,__text) external ___istype
00007ff801dc37a0 (__TEXT,__text) external ___istype_l
00007ff8438c06e8 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
00007ff8438c0d90 (__DATA_DIRTY,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
00007ff801ddb578 (__TEXT,__text) external ___ldtoa
00007ff801dae669 (__TEXT,__text) external ___libc_init
00007ff801d7a395 (__TEXT,__text) external ___lo0bits_D2A
00007ff801d7f4f7 (__TEXT,__text) non-external ___loadevp
00007ff8438c00e0 (__DATA_DIRTY,__data) non-external (was a private external) ___locale_key
00007ff801db574c (__TEXT,__text) external ___log2
00007ff843ac48c0 (__DATA,__common) non-external (was a private external) ___logname
00007ff843ac2770 (__DATA,__data) non-external (was a private external) ___logname_mutex
00007ff801decc00 (__TEXT,__const) non-external (was a private external) ___lowercase_hex
00007ff801d7b1e7 (__TEXT,__text) external ___lshift_D2A
                 (undefined) external ___lstat64_extended (from libsystem_kernel)
                 (undefined) external ___lstat_extended (from libsystem_kernel)
00007ff801d7fb75 (__TEXT,__text) external ___maskrune
00007ff801dc374b (__TEXT,__text) external ___maskrune_l
00007ff801dba157 (__TEXT,__text) external ___match_D2A
00007ff843ac296c (__DATA,__data) external ___mb_cur_max
00007ff843ac2970 (__DATA,__data) external ___mb_sb_limit
00007ff801dd0cb2 (__TEXT,__text) non-external ___mbsconv
00007ff801dc2fef (__TEXT,__text) non-external (was a private external) ___mbsnrtowcs_std
00007ff801de7aa6 (__TEXT,__text) external ___memccpy_chk
00007ff801d6faa8 (__TEXT,__text) external ___memcpy_chk
00007ff801d704a6 (__TEXT,__text) external ___memmove_chk
00007ff801d78955 (__TEXT,__text) external ___memset_chk
00007ff801d903a1 (__TEXT,__text) non-external (was a private external) ___messages_load_locale
00007ff843ac42c8 (__DATA,__bss) non-external ___messages_load_locale.cache
                 (undefined) external ___mkdir_extended (from libsystem_kernel)
                 (undefined) external ___mkfifo_extended (from libsystem_kernel)
00007ff801d8f7c8 (__TEXT,__text) non-external (was a private external) ___monetary_load_locale
00007ff843ac42d8 (__DATA,__bss) non-external ___monetary_load_locale.cache
00007ff801d7b0a3 (__TEXT,__text) external ___mult_D2A
00007ff801d7aee0 (__TEXT,__text) external ___multadd_D2A
00007ff801dc86cd (__TEXT,__text) non-external ___nls_free_resources
00007ff801dec44d (__TEXT,__const) non-external ___nogrouping
00007ff801d7dcf9 (__TEXT,__text) external ___nrv_alloc_D2A
00007ff801dab458 (__TEXT,__text) non-external (was a private external) ___numeric_ctype
00007ff801d8ff88 (__TEXT,__text) non-external (was a private external) ___numeric_load_locale
00007ff843ac42e8 (__DATA,__bss) non-external ___numeric_load_locale.cache
                 (undefined) external ___open (from libsystem_kernel)
                 (undefined) external ___open_extended (from libsystem_kernel)
                 (undefined) external ___open_nocancel (from libsystem_kernel)
00007ff801d8e3ce (__TEXT,__text) non-external (was a private external) ___open_path_locale
00007ff801de618f (__TEXT,__text) external ___opendir2
00007ff801d6ef0e (__TEXT,__text) external ___opendir2$INODE64
00007ff801d704b8 (__TEXT,__text) non-external ___opendir_common
00007ff801d706cf (__TEXT,__text) non-external ___opendir_common
                 (undefined) external ___os_log_simple_offset (from libsystem_platform)
00007ff801db1209 (__TEXT,__text) external ___ovfl_delete
00007ff801db103f (__TEXT,__text) external ___ovfl_get
00007ff801db111a (__TEXT,__text) external ___ovfl_put
00007ff801d7dbf2 (__TEXT,__text) non-external (was a private external) ___parsefloat_buf
00007ff8438c2628 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.bsiz
00007ff8438c2620 (__DATA_DIRTY,__bss) non-external ___parsefloat_buf.parsefloat_tsd_key
00007ff8438c0b78 (__DATA_DIRTY,__data) non-external ___parsefloat_buf.parsefloat_tsd_lock
00007ff801d8fc88 (__TEXT,__text) non-external (was a private external) ___part_load_locale
                 (undefined) external ___platform_sigaction (from libsystem_platform)
00007ff843ac48c8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff843ac27b0 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff801d7af9c (__TEXT,__text) external ___pow5mult_D2A
00007ff801debd40 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff801ddecb4 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff801de9b57 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff801ddda96 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff801de99e3 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff801dddb80 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff801de9a04 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff801dde6c8 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff801de9a4a (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff801d9dac1 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff801de9a6b (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff801ddf2c3 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff801de9bc5 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff801ddf2a5 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff801dde97f (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff801de9aee (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff801ddea19 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff801de9b11 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff801d9da90 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff801de9b36 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff801ddee06 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff801de9b80 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff801ddf106 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
